"IDCLOUD";"ID";"IDCIDADE";"IDREPRESENTANTE";"NOMEFANTASIA";"NOMECONTATO";"RAZAOSOCIAL";"CNPJ";"CNAE";"INSCRICAOESTADUAL";"EMAIL";"RAMOATIVIDADE";"REPRESENTANTE";"NOVO";"STATUS";"ATIVO";"CEP";"BAIRRO";"CIDADE";"COMPLEMENTO";"NUMERO";"ENDERECO";"UF";"DATAVIGENCIA";"CADASTRADAPOR";"OBSERVACOES";"FONECOBRANCA";"FONEADICIONAL";"DATAINICIO";"DIASLICENCAPROVISORIA";"VALORMENSALIDADE";"VALORIMPLANTACAO"
4702494;47;4563;0;"LANCHONETE CATARINA";"ELIEGE";"M. J. ANTUNES NETO & CIA LTDA.";"02494186000108";"";"9032207836";"@";"0";"";"N";3;"";"85810110";"CENTRO";"CASCAVEL";"";2605;"RUA VISCONDE DE GUARAPUAVA";"";"";"";"";"99404793";"";"01/10/2018";0;"0";"0"
4829908;48;4563;0;"PRESLEY BURGER";"BETE";"PRESLEY BURGER LTDA";"29908115000160";"";"9077517836";"@";"0";"ANDERSON";"N";1;"";"85810020";"CENTRO";"CASCAVEL";"";225;"R. PERNAMBUCO";"";"";"";"

";"99359922";"";"01/10/2018";0;"0";"0"
4908282;49;4563;0;"YUU ASIAN BAR - CASCAVEL";"MICHELLY";"GILBERTO MARTIGNONI RESTAURANTE-ME";"08282574000292";"";"9067960316";"yuuasianbar@gmail.com";"0";"DANIEL";"N";1;"";"85810020";"CENTRO";"CASCAVEL";"";944;"RUA PERNAMBUCO";"";"";"";"

";"4530965550";"";"01/10/2018";0;"0";"0"
5018326;50;195;0;"PIZZA CHOPP PIZZARIA LTDA-ME";"LUCELIA";"PIZZA CHOPP PIZZARIA LTDA-ME";"18326075000122";"";"9063365375";"@";"0";"DANIEL";"N";1;"";"85910070";"PIONEIRA";"TOLEDO";"";231;"RUA CASTRO ALVES";"";"";"";"
";"4532522266";"";"01/10/2018";0;"0";"0"
5105440;51;4563;0;"CHANG LEE";"DEVAIR";"CHANG LEE RESTAURANTE CHINES LTDA";"05440803000261";"";"9077574554";"@";"0";"";"N";1;"";"85810020";"CENTRO";"CASCAVEL";"";225;"R. PERNAMBUCO";"";"";"";"";"84035833";"";"01/10/2018";0;"0";"0"
5220352;52;4563;0;"RESTAURANTE LUSITANO";"FABIO";"F. QUEIROZ - RESTAURANTE LUSITANO ME";"20352705000185";"";"9066552176";"@";"0";"";"N";1;"";"85806430";"CENTRO";"CASCAVEL";"";1853;"R. SAO PAULO";"";"";"";"";"99624414";"";"01/10/2018";0;"0";"0"
5311258;53;193;0;"MAPALOLO PIZZARIA";"NAIRO BARTZ";"MAPALOLO PIZZARIA LTDA";"11258314000105";"";"9049918728";"mapalolopizzaria@hotmail.com";"0";"";"N";1;"";"85817310";"MORUMBI";"CASCAVEL";"";429;"RUA EUROPA";"";"";"";"";"4532222669";"";"01/10/2018";0;"0";"0"
5428620;54;5371;0;"OUTBEEF - STEAL PLACE ZAVALHIA";"VINICIUS";"DOM VICENTE RESTAURANTE LTDA";"45239487000106";"";"0340136111";"@";"0";"";"N";1;"";"98005150";"CENTRO";"CRUZ ALTA";"";823;"AV. GENERAL OSORIO";"RS";"";"";"
";"5599367514";"";"01/10/2018";0;"0";"0"
5505928;55;4563;0;"PANIFICADORA PANI CENTER";"SELMO";"I. I. SANTOS FERRREIRA PANIFICADORA ";"05928752000130";"";"9062740865";"@";"0";"";"N";1;"";"85816500";"PERIOLO";"CASCAVEL";"";1126;"R. PANAMA";"";"";"";"";"99864020";"";"01/10/2018";0;"0";"0"
5627981;56;4563;0;"LOJAS KIWI";"MARCELO";"E DE SOUZA CONFECÇÕES - ME";"27981841000183";"";"9075594248";"@";"0";"";"N";1;"";"85812001";"CENTRO";"CASCAVEL";"SALA 04";5546;"AV. BRASIL";"";"";"";"";"33068878";"";"01/10/2018";0;"0";"0"
5829515;58;4563;0;"OONFLEEK";"ALEX";"L G COIMBRA BERTOLI E CIA LTDA";"34033281000109";"";"9077104914";"@";"0";"DANIEL";"N";1;"";"85810020";"CENTRO";"CASCAVEL";"";225;"RUA PERNAMBUCO";"";"";"";"

";"998291515";"";"01/10/2018";0;"0";"0"
5907972;59;4583;0;"QUINTA DO ACAI";"REGIS";"MARIA VALDETE DA ROSA MOURA LTDA-ME";"07972694000178";"";"9071179955";"@";"0";"";"N";1;"";"85900110";"CENTRO";"TOLEDO";"";1857;"RUA RAIMUNDO LEONARDI";"";"";"";"";"998177720";"";"01/10/2018";0;"0";"0"
6028247;60;4563;0;"FE E CAFE";"NALDO";"CIRLEI RECH RODRIGUES 51348705949";"35948758000130";"";"9075690395";"@";"0";"";"N";1;"S";"85801050";"CENTRO";"CASCAVEL";"";1054;"R. MARANHAO";"";"";"";"


";"99647596";"";"03/10/2018";0;"0";"0"
6128718;61;4563;0;"SHESTER BEBIDAS";"SHESTER";"RIALTO E SAVARIS RESTAURANTES E CHOPERIA LTDA - ME";"28718683000136";"";"9076165847";"@";"0";"DANIEL";"N";1;"S";"85810020";"CENTRO";"CASCAVEL";"";225;"RUA PERNAMBUCO";"";"";"";"

";"98222345";"";"03/10/2018";0;"0";"0"
6225317;62;4563;0;"DR. HOO";"FELIPE";"DANIELA SANTOS AMARAL - ME";"25317226000141";"";"9072835341";"@";"0";"";"N";3;"S";"85810230";"CENTRO";"CASCAVEL";"";432;"AV. TOLEDO";"";"";"";"
";"99303328";"";"03/10/2018";0;"0";"0"
6302357;63;4563;0;"RESTAURANTE MONTE LIBANO";"MAURELIO";"MAURELIO LUIZ VIVIAN ME";"02357142000136";"";"9015573306";"@";"0";"";"N";1;"S";"85810080";"CENTRO";"CASCAVEL";"";4004;"RUA. CARLOS DE CARVALHO";"";"";"";"";"99202999";"";"03/10/2018";0;"0";"0"
6407972;64;4583;0;"QUINTA DO AÇAI";"REGIS";"MARIA VALDETE DA ROSA MOURA LTDA-ME";"07972694000178";"";"9071179955";"@";"0";"";"N";1;"S";"85900110";"CENTRO";"TOLEDO";"";1857;"RUA RAIMUNDO LEONARDI";"";"";"";"";"33781986";"";"03/10/2018";0;"0";"0"
6524857;65;4563;0;"303 LOUNGE BEER";"Thais";"HOOKAHFULL LOUNGE BEER LTDA";"24857953000139";"";"9072235581";"thaiscristina1909@outlook.com";"0";"";"N";1;"S";"85816290";"SAO CRISTOVAO";"CASCAVEL";"";2962;"AV. BRASIL";"PR";"";"";"";"999514421";"";"03/10/2018";0;"0";"0"
6622052;66;4563;0;"SKINA BEER";"VILSON";"DONATI E DIAS COM. DE ALIMENTOS LTDA-ME";"22052426000121";"";"9068934793";"@";"0";"";"N";1;"S";"85801011";"CENTRO";"CASCAVEL";"";2230;"RUA RIO GRANDE DO SUL";"";"";"";"";"4598149326";"";"03/10/2018";0;"0";"0"
6711249;67;4563;0;"ESQUINA DO PAO";"ELIANE";"SEBASTIAO CARDOSO FERRERIA E CIA LTDA";"11249438000124";"";"9050408121";"@";"0";"";"N";1;"S";"85815176";"JD COLONIAL";"CASCAVEL";"";405;"RUA WALDIR AZEVEDO ";"";"";"";"";"32292374";"";"03/10/2018";0;"0";"0"
6829828;68;4563;0;"MAIS ACAI";"CARLA";"R DE MORAES CASSINS";"29828169000388";"";"9078862200";"@";"0";"";"N";1;"S";"85816294";"SAO CRISTOVAO";"CASCAVEL";"SL 23 BL B, SH. WEST SIDE";2962;"AV BRASIL";"";"";"";"";"991230482";"";"03/10/2018";0;"0";"0"
6929589;69;4583;0;"LA MAFIA TRATTORIA TOLEDO";"DOUGLAS";"LA MAMMA BALENA LTDA";"27240648000191";"";"9081798203";"@";"0";"DANIEL";"N";1;"S";"85902060";"JARDIM LA SALLE";"TOLEDO";"";5731;"AV MARIPA";"";"";"";"


";"999790000";"";"03/10/2018";0;"0";"0"
7020247;70;4563;0;"RESTAURANTE ALCATRAO E BRASA";"PEDRO";"NAYARA RIBEIRO DO NASCIMENTO";"33100544000184";"";"9066384524";"pedro.bessani@gmail.com";"0";"";"N";1;"S";"85814760";"FLORESTA";"CASCAVEL";"";1997;"AV. PAPAGAIOS";"";"";"";"
";"99903031";"";"03/10/2018";0;"0";"0"
7197551;71;4563;0;"BONAMIGO BEBIDAS";"MAURICIO";"EDERLEI BONAMINGO DOS SANTOS CASCAVEL";"34857915000130";"";"9090000761";"@";"0";"";"N";1;"S";"85813105";"SAO CRISTOVAO";"CASVAVEL";"";91;"RUA EMILIA GALAFASI";"PR";"";"";"";"999432795";"";"03/10/2018";0;"0";"0"
7217540;72;4563;0;"HANABI SUSHI TRUCK";"RICARDO";"RICARDO TAKAHIDE SANO - ME";"17540286000109";"";"9069691657";"rtsano@hotmail.com";"0";"";"N";1;"S";"85812010";"CENTRO";"CASCAVEL";"";956;"RUA PARANA";"";"";"";"";"99333141";"";"03/10/2018";0;"0";"0"
7324137;73;4561;0;"CAFE E CIA DO NENE";"JESSICA";"MARQUETTO E SCAPINI RESTAURANTE LTDA";"24137245000123";"";"9071384966";"@";"0";"";"N";1;"S";"85790000";"CENTRO";"CAPITAO LEONIDAS MARQUES";"";425;"AV. IGUACU ";"";"";"";"";"99615299";"";"03/10/2018";0;"0";"0"
7427669;74;4563;0;"CASA DO MARQUES";"ANDRESSA";"M. MULLER RESTAURANTE - EPP";"27669484000112";"";"9075072110";"@";"0";"";"N";1;"S";"85801270";"CENTRO";"CASCAVEL";"";1218;"R. NEREU RAMOS";"PR";"";"";"
";"99150905";"";"04/10/2018";0;"0";"0"
7530548;75;4587;0;"HOOKAH LOUNGE BEER";"LUCAS";"SAMUEL JOAO RIOS";"30548899000142";"";"9078211536";"@";"0";"";"N";1;"S";"85935000";"JARDIM PARANA";"ASSIS CHATEAUBRIAND";"";771;"AV BRASIL";"";"";"";"";"999951356";"";"04/10/2018";0;"0";"0"
7630345;76;5582;0;"RESTAURANTE REI DA PRAÇA";"ITAMAR";"DIST BAR LANCHONETE E REST O REI DA PRACA LTDA";"30345811000195";"";"148530991 ";"@";"0";"";"N";3;"S";"47850000";"MIMOSO DO OESTE";"LUIS EDUARDO MAGALHAES";"";2279;"RUA SAO FRANCISCO";"";"";"";"
";"11986975075";"";"04/10/2018";0;"0";"0"
7728867;77;4571;0;"LA MAFIA TRATTORIA";"LEONARDO";"SAPORE RESTAURANTE LTDA - ME";"28867625000174";"";"9076364882";"leo@hotmail.com";"0";"DANIEL";"N";1;"S";"85852320";"VILA REMIGIO";"FOZ DO IGUACU";"";195;"RUA WATSLAF NIERADKA";"";"";"";"
";"4530276244";"";"05/10/2018";0;"0";"0"
7829562;78;4422;0;"EMPORIO DA CARNE";"MEIRE";"EMPORIO DA CARNE LTDA - ME";"29562282000100";"";"9077149004";"meiribraga@hotmail.com";"0";"DANIEL";"N";1;"S";"83833173";"IGUACU";"FAZENDA RIO GRANDE";"";685;"RUA RIO PIQUIRI";"";"";"";"
";"4136080262";"";"05/10/2018";0;"0";"0"
7920247;79;4563;0;"RESTAURANTE ALCATRAO E BRASA";"PEDRO";"BESSANI RESTAURANTE LTDA ME";"20247291000124";"";"9066384524";"pedro.bessani@gmail.com";"0";"";"N";1;"S";"85802170";"CENTRO";"CASCAVEL";"";2600;"RUA PIO XII.";"";"";"";"";"99903331";"";"05/10/2018";0;"0";"0"
8025533;80;4506;0;"PALLADIUM BAR E TABACARIA";"PAULO PATRICK";"PALLADIUM BAR E TABACARIA LTDA";"25533690000175";"";"123";"patrick_kiki-@hotmail.com";"0";"";"N";1;"S";"85811111";"CENTRO";"CAFELANDIA";"";123;"RUA DANIEL CHIROFF";"";"";"";"";"45999017052";"";"05/10/2018";0;"0";"0"
8105079;81;4563;0;"MERCADO BRECHMZ";"ALEXANDRO";"MERCEARIA BRECHMZ LTDA";"05079424000107";"";"9026279280";"alexandronbarbosa@gmail.com";"0";"";"N";1;"S";"85804030";"14 DE NOVEMBRO";"CASCAVEL";"";739;"RUA SOUZA NAVES SUL";"";"";"";"";"99715128";"";"08/10/2018";0;"0";"0"
8211933;82;5581;0;"PANORAMA BAR E RESTAURANTE";"LUCIMEIRE";"PANORAMA BAR E RESTAURANTE";"11933201000168";"";"87546631  ";"@";"0";"THIAGO";"N";1;"S";"47850000";"CENTRO";"LUIS EDUARDO MAGALHAES";"";95;"RUA FLAMBOYANT";"";"";"";"
";"7736390522";"";"08/10/2018";0;"0";"0"
8327716;83;4478;0;"MAIS ACAI";"GUSTAVO";"G DE MORAES CASSINS - ME";"27716048000157";"";"9075216057";"maisacai.cascavel@gmail.com";"0";"";"N";1;"S";"85051010";"CIDADE DOS LAGOS";"GUARAPUAVA";"PVMTO L2";1400;"AV GUARAPUAVA";"";"";"";"";"45998045475";"";"09/10/2018";0;"0";"0"
8429714;84;4563;0;"ARENA PUB SERTANEJO";"WILSON";"ARENA PUB SERTANEJO";"29714004000113";"";"9077300420";"@";"0";"DANIEL";"N";1;"S";"85810000";"CENTRO";"CASCAVEL";"";7282;"AV BRASIL";"";"";"";"


";"4533064756";"";"09/10/2018";0;"0";"0"
8521379;85;4563;0;"ARENA HOOKAH LOUNGE";"WILSON";"ARENA TABACARIA LTDA-ME";"21379999000100";"";"9068332718";"arena";"2";"";"N";1;"S";"85811180";"CENTRO";"CASCAVEL";"";9049;"AV BRASIL";"PR";"";"";"
";"33064756";"";"09/10/2018";0;"0";"0"
8617844;86;4563;0;"CASCAVEL SUSHI";"ADRIAN";"ALDEMIR ALBERTO GOLUB ";"17844087000186";"";"11122211  ";"@";"0";"ANDERSON";"N";1;"S";"85810430";"CENTRO";"CASCAVEL";"";1328;"RUA PIO XII";"";"";"";"

";"99628998";"";"09/10/2018";0;"0";"0"
8729589;87;4563;0;"BLACK DIAMOND TABACARIA";"LEDIANE";"M. A . MELOTTI & CIA LTDA";"29589251000135";"";"9077175692";"@";"0";"";"N";1;"S";"85810110";"CENTRO";"CASCAVEL";"";2220;"R. VISCONDE DE GUARAPUAVA ";"";"";"";"";"99480245";"";"10/10/2018";0;"0";"0"
8830294;88;4569;0;"MANDA BRASA";"TIAGO";"THIAGO DOS SANTOS FERNANDES";"30294727000190";"";"9077938009";"@";"0";"";"N";1;"S";"85840000";"CENTRO";"CEU AZUL";"";0;"RUA FLORIANOPOLIS";"";"";"";"";"45998427261";"";"10/10/2018";0;"0";"0"
8929269;89;5371;0;"M. JACK PUB";"";"MR JACK PUB E RESTAURANTE LTDA";"34871515000189";"";"034/0132523";"@";"0";"ANDERSON";"N";1;"S";"85811190";"CENTRO";"CRUZ ALTA";"";1779;"R. BARAO DO RIO BRANCO";"RS";"";"";"

";"5591457009";"";"12/10/2018";0;"0";"0"
9010300;90;4563;0;"MERCADO MAGELA";"GERALDO";"GERALDO MAGELA DE SOUZA";"10300212000148";"";"9045369037";"@";"0";"";"N";1;"S";"85815420";"BRASILIA";"CASCAVEL";"";545;"R. VEREADOR JOSE DE OLIVEIRA";"";"";"";"";"99777873";"";"15/10/2018";0;"0";"0"
9130617;91;4563;0;"HOOKAH BLACK";"ANTENOR";"A MOREIRA ANDRE COMERCIO";"32537678000102";"";"9090724921";"@";"2";"(empty)";"N";1;"S";"85817470";"CATARATAS";"CASCAVEL";"(empty)";327;"R. SERRA DO PARATI";"PR";"";"";"(empty)";"99354370";"(empty)";"16/10/2018";0;"0";"0"
9226125;92;5371;0;"CHEF BACCO";"JUNIOR";"JOAO BATISTA DE MORAES JUNIOR";"26125544000173";"";"0340128550";"@";"0";"ANDERSON";"N";1;"S";"98005096";"CENTRO";"CRUZ ALTA";"";1551;"RUA VENANCIO AIRES";"";"";"";"
";"5596969088";"";"17/10/2018";0;"0";"0"
9330693;93;4563;0;"BAR DO ZE";"BIANCA";"DEMARQ CHOPEIRA E PETISCARIA";"30693195000163";"";"9078355619";"@";"0";"";"N";3;"S";"85805036";"ALTO ALEGRE";"CASCAVEL";"";2372;"AV. TANCREDO NEVES";"";"";"";"
";"98311813";"";"17/10/2018";0;"0";"0"
9430430;94;1996;0;"PIZZARIA J G L";"LUIZ";"LUIZ HENRIQUE SANTOS VIEIRA  ";"30430678000175";"";"148780921";"@";"0";"";"N";1;"S";"47640000";"CENTRO  ";"SANTA MARIA DA VITORIA";"TERREO";1073;"AVENIDA PERIMETRAL  ";"";"";"";"";"7734831842";"";"18/10/2018";0;"0";"0"
